row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
3,16,,-64.82,4.2,15.02,27.18,6.471429,0.773032,0.99938,-6.940476,-23.809524,-23.809524,0.862143,-654.761905,0.99938,0.773032,0.859857,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R�=0.7730); hit_r2_slope (R�=0.8599)
3,16,,-64.84,4.2,15.03,27.86,6.633333,0.940724,0.998637,-7.261905,53.571429,53.571429,0.560609,-803.571429,0.998637,0.940724,0.878477,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R�=0.9407); hit_r2_slope (R�=0.8785)
3,16,,-64.86,4.2,15.03,28.52,6.790476,0.952504,0.999395,-7.607143,-11.904762,-11.904762,0.064656,-863.095238,0.999395,0.952504,0.88873,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R�=0.9525); hit_r2_slope (R�=0.8887)
3,16,,-64.88,4.2,15.02,29.27,6.969048,0.993836,0.998416,-7.97619,53.571429,53.571429,0.11278,-922.619048,0.998416,0.993836,0.889036,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8890)
3,16,,-64.9,4.2,15.02,29.98,7.138095,0.9997,0.999498,-8.345238,-23.809524,-23.809524,-0.227343,-922.619048,0.999498,0.9997,0.892857,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8929)
3,16,,-64.92,4.2,15.02,30.82,7.338095,0.998038,0.998394,-8.785714,77.380952,77.380952,0.584065,-1101.190476,0.998394,0.998038,0.880891,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8809)
3,16,,-64.94,4.2,15.03,31.63,7.530952,0.996814,0.999002,-9.25,-17.857143,-17.857143,-0.03142,-1160.714286,0.999002,0.996814,0.88991,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8899)
3,16,,-64.96,4.2,15.02,32.55,7.75,0.995259,0.998195,-9.77381,65.47619,65.47619,0.365222,-1309.52381,0.998195,0.995259,0.885333,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8853)
3,16,,-64.98,4.2,15.02,33.43,7.959524,0.999142,0.999491,-10.27381,-23.809524,-23.809524,-0.537534,-1250,0.999491,0.999142,0.895028,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8950)
3,16,,-65,4.2,15.03,34.5,8.214286,0.996624,0.997722,-10.904762,113.095238,113.095238,1.012081,-1577.380952,0.997722,0.996624,0.875928,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8759)
3,16,,-65.02,4.2,15.02,35.44,8.438095,0.991625,0.999028,-11.392857,-77.380952,-77.380952,-1.646557,-1220.238095,0.999028,0.991625,0.899923,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8999)
3,16,,-65.04,4.2,15.02,36.63,8.721429,0.990235,0.997636,-12.107143,148.809524,148.809524,1.774374,-1785.714286,0.997636,0.990235,0.860121,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8601)
3,16,,-65.06,4.2,15.03,37.74,8.985714,0.990822,0.998684,-12.797619,-47.619048,-47.619048,-0.622193,-1726.190476,0.998684,0.990822,0.894479,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8945)
3,16,,-65.08,4.2,15.03,39.08,9.304762,0.98465,0.996743,-13.642857,136.904762,136.904762,0.986675,-2113.095238,0.996743,0.98465,0.878705,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8787)
3,16,,-65.1,4.2,15.02,40.43,9.62619,0.980076,0.998292,-14.797619,5.952381,5.952381,1.85616,-2886.904762,0.998292,0.980076,0.867908,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0.2,FALSE,hit_r2_slope (R�=0.8679)
