row,cell,Cell_Label,Z_Height_mm,RPM,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,3,2kcP_sdl5,-65.5,15,1.661333,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.52,15,1.892667,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.54,15,1.982,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.56,15,2.072667,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.58,15,2.144,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.6,15,2.220667,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.62,15,2.289333,0,0,0,0,0,FALSE,insufficient_data
1,3,2kcP_sdl5,-65.64,15,2.372667,0,0.999181,-3.726667,36.666667,0,FALSE,
1,3,2kcP_sdl5,-65.66,15,2.444667,0.709761,0.999349,-3.766667,-28.333333,0.2,FALSE,hit_r2_cv (Rｲ=0.7098)
1,3,2kcP_sdl5,-65.68,15,2.528667,0.834501,0.998956,-3.856667,30,0.4,FALSE,hit_r2_cv (Rｲ=0.8345); hit_r2_slope (Rｲ=0.7979)
1,3,2kcP_sdl5,-65.7,15,2.609333,0.774128,0.999512,-3.98,-8.333333,0.4,FALSE,hit_r2_cv (Rｲ=0.7741); hit_r2_slope (Rｲ=0.8676)
1,3,2kcP_sdl5,-65.72,15,2.705333,0.46872,0.997681,-4.15,38.333333,0.4,FALSE,hit_r2_cv (Rｲ=0.4687); hit_r2_slope (Rｲ=0.8669)
1,3,2kcP_sdl5,-65.74,15,2.792,0.353786,0.999198,-4.356667,-23.333333,0.4,FALSE,hit_r2_cv (Rｲ=0.3538); hit_r2_slope (Rｲ=0.8793)
1,3,2kcP_sdl5,-65.76,15,2.903333,0.817448,0.997118,-4.66,61.666667,0.4,FALSE,hit_r2_cv (Rｲ=0.8174); hit_r2_slope (Rｲ=0.8598)
1,3,2kcP_sdl5,-65.78,15,3.006,0.948952,0.998294,-4.956667,-21.666667,0.4,FALSE,hit_r2_cv (Rｲ=0.9490); hit_r2_slope (Rｲ=0.8939)
1,3,2kcP_sdl5,-65.8,15,3.131333,0.981542,0.996519,-5.33,56.666667,0.2,FALSE,hit_r2_slope (Rｲ=0.8762)
1,3,2kcP_sdl5,-65.82,15,3.254667,0.991651,0.998463,-5.766667,-5,0.2,FALSE,hit_r2_slope (Rｲ=0.8826)
1,3,2kcP_sdl5,-65.84,15,3.409333,0.981683,0.995,-6.303333,78.333333,0.2,FALSE,hit_r2_slope (Rｲ=0.8784)
1,3,2kcP_sdl5,-65.86,15,3.793333,0.689684,0.92647,-9.263333,573.333333,1,TRUE,hit_2nd_deriv_drag (573.3333); hit_2nd_deriv_cv (55.7571); hit_2nd_deriv_slope (-7400.0000); hit_r2_drag (Rｲ=0.9265); hit_r2_cv (Rｲ=0.6897); hit_r2_slope (Rｲ=0.6573)
1,3,2kcP_sdl5,-65.88,15,3.847333,0.832069,0.946764,-9.853333,-825,1,TRUE,hit_2nd_deriv_drag (-825.0000); hit_2nd_deriv_cv (-62.4802); hit_r2_drag (Rｲ=0.9468); hit_r2_cv (Rｲ=0.8321); hit_r2_slope (Rｲ=0.8303)
1,3,2kcP_sdl5,-65.9,15,3.741333,0.301643,0.727721,-7.056667,-400,1,TRUE,hit_2nd_deriv_drag (-400.0000); hit_2nd_deriv_cv (-43.5716); hit_2nd_deriv_slope (6991.6667); hit_r2_drag (Rｲ=0.7277); hit_r2_cv (Rｲ=0.3016); hit_r2_slope (Rｲ=0.2730)
1,4,4kcP,-65.5,8,3.85125,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.52,8,3.94375,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.54,8,4.0275,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.56,8,4.1225,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.58,8,4.21125,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.6,8,4.30625,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.62,8,4.40125,0,0,0,0,0,FALSE,insufficient_data
1,4,4kcP,-65.64,8,4.51375,0,0.998081,-4.8625,43.75,0,FALSE,
1,4,4kcP,-65.66,8,4.61875,0.61689,0.99874,-5.1125,-18.75,0.2,FALSE,hit_r2_cv (R�=0.6169)
1,4,4kcP,-65.68,8,4.745,0.899412,0.997847,-5.475,53.125,0.4,FALSE,hit_r2_cv (R�=0.8994); hit_r2_slope (R�=0.8612)
1,4,4kcP,-65.7,8,4.8625,0.982264,0.999105,-5.76875,-21.875,0.2,FALSE,hit_r2_slope (R�=0.8995)
1,4,4kcP,-65.72,8,5.0025,0.994342,0.997848,-6.10625,56.25,0.2,FALSE,hit_r2_slope (R�=0.8840)
1,4,4kcP,-65.74,8,5.1325,0.991467,0.999259,-6.425,-25,0.2,FALSE,hit_r2_slope (R�=0.8955)
1,4,4kcP,-65.76,8,5.29625,0.992237,0.996921,-6.8625,84.375,0.2,FALSE,hit_r2_slope (R�=0.8674)
1,4,4kcP,-65.78,8,5.44875,0.990022,0.998332,-7.33125,-28.125,0.2,FALSE,hit_r2_slope (R�=0.8889)
1,4,4kcP,-65.8,8,5.63625,0.983876,0.996472,-7.91875,87.5,0.2,FALSE,hit_r2_slope (R�=0.8766)
1,4,4kcP,-65.82,8,5.8125,0.996781,0.998689,-8.5,-28.125,0.2,FALSE,hit_r2_slope (R�=0.8934)
1,4,4kcP,-65.84,8,6.03,0.99817,0.996581,-9.15625,103.125,0.2,FALSE,hit_r2_slope (R�=0.8853)
1,4,4kcP,-65.86,8,6.23,0.998125,0.99871,-9.78125,-43.75,0.2,FALSE,hit_r2_slope (R�=0.8951)
1,4,4kcP,-65.88,8,6.48,0.9989,0.996755,-10.525,125,0.2,FALSE,hit_r2_slope (R�=0.8811)
1,4,4kcP,-65.9,8,6.745,0.98341,0.996731,-11.575,37.5,0.2,FALSE,hit_r2_slope (R�=0.8643)
