row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected
1,3,,-65.58,1.3,20.08,30.7,23.615385,0.701394,0.996637,-29.846154,-461.538462,-461.538462,0.379773,-2403.846154,0.996637,0.701394,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.2,FALSE
1,3,,-65.6,1.3,20.08,31.7,24.384615,0.042068,0.993898,-31.230769,576.923077,576.923077,1.243516,-3461.538462,0.993898,0.042068,0.862015,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE
1,3,,-65.62,1.3,20.09,32.42,24.938462,0.913544,0.99726,-32.384615,-538.461538,-538.461538,-0.978832,-2884.615385,0.99726,0.913544,0.899083,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,0.4,FALSE
1,3,,-65.64,1.3,25.04,33.52,25.784615,0.980008,0.994567,-33.692308,730.769231,730.769231,0.38352,-3269.230769,0.994567,0.980008,0.884997,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,3,,-65.66,1.3,20.09,34.36,26.430769,0.988299,0.997083,-35.153846,-500,-500,0.181069,-3653.846154,0.997083,0.988299,0.886018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE
1,3,,-65.68,1.3,25.04,35.59,27.376923,0.916505,0.993163,-37.384615,750,750,2.041093,-5576.923077,0.993163,0.916505,0.854991,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,3,,-65.7,1.3,25.04,36.55,28.115385,0.95076,0.997626,-39.730769,-519.230769,-519.230769,-0.284101,-5865.384615,0.997626,0.95076,0.890045,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,3,,-65.72,1.3,25.05,37.95,29.192308,0.977409,0.993598,-42.5,846.153846,846.153846,0.944965,-6923.076923,0.993598,0.977409,0.881816,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,3,,-65.74,1.3,25.04,39.24,30.184615,0.972998,0.996767,-46.615385,-211.538462,-211.538462,2.627127,-10288.46154,0.996767,0.972998,0.858275,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,3,,-65.76,1.3,25.04,40.64,31.261538,0.979784,0.996242,-49.192308,211.538462,211.538462,-4.301268,-6442.307692,0.996242,0.979784,0.897564,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,3,,-65.78,1.3,25.04,42.21,32.469231,0.984155,0.998846,-53.884615,326.923077,326.923077,4.396906,-11730.76923,0.998846,0.984155,0.830879,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,3,,-65.8,1.3,25.04,43.94,33.8,0.983097,0.996475,-57.5,307.692308,307.692308,-3.072566,-9038.461538,0.996475,0.983097,0.899941,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,3,,-65.82,1.3,25.04,45.78,35.215385,0.978196,0.997115,-63,211.538462,211.538462,3.375417,-13750,0.997115,0.978196,0.855404,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,3,,-65.84,1.3,35.05,52.69,40.530769,0.633312,0.873524,-106.423077,9750,9750,88.314818,-108557.6923,0.873524,0.633312,0.615298,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE
1,3,,-65.86,1.3,35.05,52.72,40.553846,0.801861,0.906231,-114.5,-13230.76923,-13230.76923,-94.839079,-20192.30769,0.906231,0.801861,0.826052,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE
1,3,,-65.88,1.3,25.05,56.11,43.161538,0.750466,0.921394,-120.307692,6461.538462,6461.538462,-4.225814,-14519.23077,0.921394,0.750466,0.89986,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,5,0.8,TRUE
1,4,,-65.48,1.3,20.09,25.66,19.738462,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.5,1.3,20,26.7,20.538462,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.52,1.3,20.07,27.58,21.215385,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.54,1.3,20.09,28.3,21.769231,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.56,1.3,20.09,29.2,22.461538,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.58,1.3,20.08,29.95,23.038462,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
