family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,hit_point_z,provider_suffix,provider_bucket,viscosity_bucket_kcp,truth_source,benchmark_family,cohort_type,rpm,gamma_dot,n_drag_points,mu_pred_cP,mu_true_cP,mu_true_label_cP,mu_true_master_cP,abs_pct_err,abs_pct_err_label,abs_pct_err_master,pathway,R2_drag,tau_Pa_hit,A,fit_success,n_stress,K_stress
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,7,0,15.02,15.03,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,26,13220.252315695612,11860.0,11860.0,,11.469243808563341,11.469243808563341,,newtonian,0.9997509266651657,75.046778050225,5.673928032487387,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,7,1,20.07,20.1,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,26,11318.752399497922,11860.0,11860.0,,4.5636391273362396,4.5636391273362396,,newtonian,0.9986104551209382,70.50521711438961,4.857833647853186,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,8,0,20.07,20.1,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,23,11263.581807211836,11860.0,11860.0,,5.02882118708401,5.02882118708401,,newtonian,0.997461750734303,70.49987896746822,4.834155282065166,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,9,0,20.07,20.09,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,15,10781.350655658873,11860.0,11860.0,,9.094851132724514,9.094851132724514,,newtonian,0.9992642710101044,79.75449451847763,4.627189122600375,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,10,0,20.07,20.09,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,12,10198.881397690957,11860.0,11860.0,,14.006059041391595,14.006059041391595,,newtonian,0.9988317191982491,78.73946355549518,4.377202316605561,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,11,0,20.07,20.09,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,15,11438.660439053501,11860.0,11860.0,,3.5526101260244416,3.5526101260244416,,newtonian,0.9995158783677252,77.5445026760343,4.909296325774035,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,12,0,20.0,20.1,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,26,11881.158079989787,11860.0,11860.0,,0.17839865084137807,0.17839865084137807,,newtonian,0.998954314144471,71.3803817708666,5.099209476390467,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,16,0,15.02,15.02,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,18,12875.926272671148,11860.0,11860.0,,8.565988808357062,8.565988808357062,,newtonian,0.9999511124617703,66.45087813973593,5.526148614880321,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,16,1,15.03,15.03,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,11,12903.57123172351,11860.0,11860.0,,8.799082898174621,8.799082898174621,,newtonian,0.9999562757499096,86.29297541047272,5.5380134041731806,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,17,0,15.02,15.03,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,24,13620.01240739685,11860.0,11860.0,,14.839902254610884,14.839902254610884,,newtonian,0.9998636561942099,74.5475544573486,5.845498887294786,True,,
Silicone,silicone.csv,l10000_sl_a11860,l10000_sl_a11860,18,0,15.02,15.05,,,,sl,sil_sl,5-15,label,silicone_curated,benchmark,4.2,8.399999999999999,15,9780.061013065404,11860.0,11860.0,,17.537428220359157,17.537428220359157,,newtonian,0.9964522317398761,65.5276024111723,4.197451078568843,True,,
