pathway_name,sample_id,label,cell,rpm,provider_bucket,viscosity_bucket_kcp,mu_true_cP,mu_pred_cP,abs_pct_err,R2_drag,A
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,10,4.2,sil_sl,5-15,11860.0,19808.93756822809,67.0230823628001,0.9861859966420264,2.4782027572476393
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,10,4.2,sil_sl,5-15,11860.0,5846.962646082372,50.70014632308287,0.9959901298780564,1.7540887938247114
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,10,4.2,sil_sl,5-15,11860.0,10198.881397690957,14.006059041391595,,4.377202316605561
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,11,4.2,sil_sl,5-15,11860.0,11438.660439053501,3.5526101260244416,0.9995158783677252,4.909296325774035
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,11,4.2,sil_sl,5-15,11860.0,19263.84419590165,62.42701682885033,0.9946571069786253,2.343233436944936
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,11,4.2,sil_sl,5-15,11860.0,5377.167785096669,54.661317157700935,0.9967622279359893,1.6131503355290007
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,11,4.2,sil_sl,5-15,11860.0,11438.660439053501,3.5526101260244416,,4.909296325774035
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,12,4.2,sil_sl,5-15,11860.0,11881.158079989787,0.17839865084137807,0.998954314144471,5.099209476390467
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,12,4.2,sil_sl,5-15,11860.0,21226.04649654627,78.97172425418441,0.9883043854194604,2.8468379549372425
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,12,4.2,sil_sl,5-15,11860.0,4935.337072955952,58.386702588904285,0.9886039215983995,1.4806011218867854
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,12,4.2,sil_sl,5-15,11860.0,11881.158079989787,0.17839865084137807,,5.099209476390467
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,12875.926272671148,8.565988808357062,0.9999511124617703,5.526148614880321
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,20576.245050542107,73.49279131991659,0.9928441055999625,2.6746210042680216
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,4121.073618545966,65.25233036639152,0.99154996400679,1.2363220855637898
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,12875.926272671148,8.565988808357062,,5.526148614880321
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,12903.57123172351,8.799082898174621,0.9999562757499096,5.5380134041731806
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,18432.298254506397,55.41566825047553,0.9906142906509265,2.144640365468396
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,6507.372470874185,45.13176668740148,0.9936680607247764,1.9522117412622553
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,16,4.2,sil_sl,5-15,11860.0,12903.57123172351,8.799082898174621,,5.5380134041731806
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,17,4.2,sil_sl,5-15,11860.0,13620.01240739685,14.839902254610884,0.9998636561942099,5.845498887294786
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,17,4.2,sil_sl,5-15,11860.0,20400.48319441445,72.01081951445573,0.9929199065732304,2.6289651694654808
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,17,4.2,sil_sl,5-15,11860.0,4729.680065200565,60.12074144013014,0.9924502589048401,1.4189040195601694
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,17,4.2,sil_sl,5-15,11860.0,13620.01240739685,14.839902254610884,,5.845498887294786
current_fixed_logic,l10000_sl_a11860,l10000_sl_a11860,18,4.2,sil_sl,5-15,11860.0,9780.061013065404,17.537428220359157,0.9964522317398761,4.197451078568843
old_app_v6_p2007,l10000_sl_a11860,l10000_sl_a11860,18,4.2,sil_sl,5-15,11860.0,18162.614133502135,53.14177178332322,0.9829441532689686,2.082127894142734
linear_plus_middle_trim,l10000_sl_a11860,l10000_sl_a11860,18,4.2,sil_sl,5-15,11860.0,4505.325250105219,62.01243465341299,0.9888831887903387,1.3515975750315656
