family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,provider_suffix,provider_bucket,viscosity_bucket_kcp,pathway,regime,n_stress,K_stress,R2_stress,n_idx,mu_app_cP,success,error,n_rpms,forced_newtonian
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,2,1,25.02,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,41431.75916384414,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,3,0,20.08,20.09,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,39389.17866768221,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,4,0,20.0,20.09,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,35554.51114047785,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,4,1,25.02,25.04,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,40333.87712293791,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,5,0,20.08,20.09,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,33933.29608350221,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,6,0,20.07,20.09,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,35103.55346308704,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,6,1,25.03,25.08,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,37959.266490100425,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,7,0,20.07,20.08,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,33328.66536690189,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,7,1,25.03,25.07,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,39761.47344917683,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,8,1,25.03,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,40101.22925835737,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,9,1,25.03,25.06,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,39357.31535644615,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,10,1,25.03,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,36773.44036220817,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,11,1,25.03,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,38720.56335062038,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,12,1,25.03,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,39383.00609568282,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,13,1,25.03,25.07,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,39724.85875416534,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,14,1,25.02,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,38342.79282881024,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,16,1,25.02,25.06,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,38304.02060617897,True,,1,True
Silicone,silicone.csv,l60000_sil_a37020,l60000_sil_a37020,17,1,25.03,25.05,,,sil,sil_sl,15-40,newtonian,Newtonian,,,,1.0,41788.75222416571,True,,1,True
Silicone,silicone.csv,l60000_sl_a37020,l60000_sl_a37020,14,0,20.07,20.1,,,sl,sil_sl,15-40,newtonian,Newtonian,,,,1.0,40558.189781149136,True,,1,True
Silicone,silicone.csv,l70000_sdl_a99220,l70000_sdl_a99220,17,0,32.06,36.02,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,123327.163570911,True,,1,True
Silicone,silicone.csv,l75000_sdl_70730,l75000_sdl_70730,16,1,35.06,35.09,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,75480.5280046932,True,,1,True
Silicone,silicone.csv,l8000_sdl_a8930,l8000_sdl_a8930,6,0,15.02,15.03,,,sdl,sdl,5-15,newtonian,Newtonian,,,,1.0,10187.12288287844,True,,1,True
Silicone,silicone.csv,l95000_sdl_a93270,l95000_sdl_a93270,17,1,35.06,35.08,,,sdl,sdl,40+,newtonian,Newtonian,,,,1.0,99457.77608341484,True,,1,True
TIMS,TIMS.csv,HY500,HY500,7,0,15.06,165.07,,,other,other,unknown,,undetermined,,,,,,False,No valid RPM sweeps passed quality gate,1,False
TIMS,TIMS.csv,SYY,SYY,1,0,45.0,150.04,,,other,other,unknown,,undetermined,,,,,,False,No valid RPM sweeps passed quality gate,7,False
TIMS,TIMS.csv,sekisuiB41,sekisuiB41,11,0,15.04,255.08,,,other,other,unknown,newtonian,Newtonian,,,,1.0,1915858.159362483,True,,2,False
