family,source_file,label,sample_id,cell,session_idx,session_t_min,session_t_max,conc,mw,hit_point_z,provider_suffix,provider_bucket,viscosity_bucket_kcp,truth_source,benchmark_family,cohort_type,rpm,gamma_dot,n_drag_points,mu_pred_cP,mu_true_cP,mu_true_label_cP,mu_true_master_cP,abs_pct_err,abs_pct_err_label,abs_pct_err_master,pathway,R2_drag,tau_Pa_hit,A,fit_success,n_stress,K_stress
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,,mixed,exploratory,0.1,0.19999999999999998,16,288442.15554517775,,100800.0,,,186.15293208847,,strong_shear_thinning,0.7138365633891928,57.68843110903554,9.62783105862688,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,master,polymer_reference,benchmark,0.2,0.39999999999999997,16,183250.8321087045,181600.0,100800.0,181600.0,0.9090485180090802,81.79646042530207,0.9090485180090802,strong_shear_thinning,0.7415022050900988,73.30033284348178,6.0722479998263035,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,master,polymer_reference,benchmark,0.3,0.5999999999999999,16,146198.36321302308,135300.0,100800.0,135300.0,8.054961724333394,45.03805874307846,8.054961724333394,strong_shear_thinning,0.773053779182826,87.71901792781382,5.015413707814746,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,master,polymer_reference,benchmark,0.4,0.7999999999999999,16,125167.46023051934,114100.0,100800.0,114100.0,9.699789860227293,24.17406768900728,9.699789860227293,strong_shear_thinning,0.8116732654658739,100.13396818441547,4.341936570634737,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,master,polymer_reference,benchmark,0.5,0.9999999999999999,16,111772.02245954,100800.0,100800.0,100800.0,10.884942916210324,10.884942916210324,10.884942916210324,strong_shear_thinning,0.7991972511645701,111.77202245954,3.9651713675241678,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,,mixed,exploratory,0.6,1.1999999999999997,16,102343.56390451349,,100800.0,,,1.53131339733481,,strong_shear_thinning,0.8099604030604922,122.81227668541615,3.6861414671995534,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,,mixed,exploratory,0.7,1.4,16,95124.34013346376,,100800.0,,,5.630614946960556,,strong_shear_thinning,0.8293956982946693,133.17407618684925,3.4193517055923284,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,master,polymer_reference,benchmark,0.8,1.5999999999999999,16,89305.71181283353,69580.0,100800.0,69580.0,28.3496864225834,11.403063677744514,28.3496864225834,strong_shear_thinning,0.8177091861758545,142.88913890053362,3.108790162466132,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,,mixed,exploratory,0.9,1.7999999999999998,16,84568.73902673286,,100800.0,,,16.102441441733273,,strong_shear_thinning,0.7923072554208379,152.22373024811913,2.858429092978516,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.35%_100800,Carbopol980|0.35%,7,0,25.02,35.07,0.35,,,other,other,40+,,mixed,exploratory,1.0,1.9999999999999998,16,80703.43865318601,,100800.0,,,19.937064828188483,,strong_shear_thinning,0.8154472717733836,161.406877306372,2.7197450025279077,True,0.45555822789361694,114.10717157055589
Carbopol980,carbopol.csv,980carb0.4%_159700,Carbopol980|0.4%,11,0,25.02,35.06,0.4,,,other,other,40+,master,polymer_reference,benchmark,0.1,0.19999999999999998,32,,354200.0,159700.0,354200.0,,,,,0.38112962530088446,67.53857994758572,8.481362811108081,False,,
Carbopol980,carbopol.csv,980carb0.4%_159700,Carbopol980|0.4%,11,0,25.02,35.06,0.4,,,other,other,40+,master,polymer_reference,benchmark,0.2,0.39999999999999997,32,,2112800.0,159700.0,2112800.0,,,,,0.3367308059182358,85.9473607801091,3.4524000767782477,False,,
Carbopol980,carbopol.csv,980carb0.4%_159700,Carbopol980|0.4%,11,0,25.02,35.06,0.4,,,other,other,40+,master,polymer_reference,benchmark,0.3,0.5999999999999999,32,,159700.0,159700.0,159700.0,,,,,0.28891772186568565,103.74052974013168,2.312146659280374,False,,
Carbopol980,carbopol.csv,980carb0.4%_159700,Carbopol980|0.4%,11,0,25.02,35.06,0.4,,,other,other,40+,master,polymer_reference,benchmark,0.4,0.7999999999999999,32,,132200.0,159700.0,132200.0,,,,,0.28885484856985844,115.9733334001472,1.5016904339174038,False,,
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,,other,other,0-5,master,polymer_reference,benchmark,11.0,21.999999999999993,27,4397.5610781200685,3527.0,2148.0,3527.0,24.682763768643845,104.72816937244266,24.682763768643845,strong_shear_thinning,0.8871515424746448,96.74634371864147,0.6175512850415356,True,0.2976995160092289,38.431492087272275
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,,other,other,0-5,,mixed,exploratory,13.0,26.0,27,3904.7868101825975,,2148.0,,,81.7870954461172,,strong_shear_thinning,0.8882716965510161,101.52445706474754,0.550046219470388,True,0.2976995160092289,38.431492087272275
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,,other,other,0-5,,mixed,exploratory,15.0,29.999999999999993,27,3527.154705552441,,2148.0,,,64.2064574279535,,strong_shear_thinning,0.8946226080735978,105.81464116657321,0.49862441467721097,True,0.2976995160092289,38.431492087272275
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,,other,other,0-5,,mixed,exploratory,17.0,34.0,27,3223.2268420968935,,2148.0,,,50.057115553859106,,strong_shear_thinning,0.893026561045612,109.58971263129438,0.4507065547735029,True,0.2976995160092289,38.431492087272275
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,,other,other,0-5,,mixed,exploratory,21.0,41.99999999999999,27,2778.7631492967375,,2148.0,,,29.36513730431739,,strong_shear_thinning,0.8925110184349115,116.70805227046296,0.38987996327272045,True,0.2976995160092289,38.431492087272275
Sepineo,sepineo.csv,1%sep_2148,Sepineo|1%,1,0,15.01,35.1,1.0,,,other,other,0-5,master,polymer_reference,benchmark,23.0,45.99999999999999,27,2602.9536211337568,2148.0,2148.0,2148.0,21.180336179411395,21.180336179411395,21.180336179411395,strong_shear_thinning,0.8936071599675623,119.73586657215279,0.36283569050156095,True,0.2976995160092289,38.431492087272275
