,Manual,,,,,,Auto_trial1,,,,,,Auto_trial2,,,,,
Label,Increment,height_mm,speed_RPM,Viscosity_cP,Torque_%,Rotational_Drag,cell,Z_Height_mm,height_mm,RPM,Torque_%,Rotational_Drag,cell,Z_Height_mm,height_mm,RPM,Torque_%,Rotational_Drag
,-1,-0.013,4.3,12830,55.6,12.93023256,,,,,,,,,,,,
,-2,-0.026,4.3,12410,53.8,12.51162791,,,,,,,,,,,,
,-3,-0.039,4.3,12250,53.1,12.34883721,,,,,,,,,,,,
sigma_1000,30,0.39,45,652.6,29.6,0.657777778,1,-65.76,0.544,45,32.09,0.713111,2,-65.56,0.578,45,33.51,0.744667
,29,0.377,45,661.5,30,0.666666667,1,-65.78,0.51,45,33.36,0.741333,2,-65.58,0.544,45,34.77,0.772667
,28,0.364,45,668.1,30.3,0.673333333,1,-65.8,0.476,45,34.6,0.768889,2,-65.6,0.51,45,36.14,0.803111
,27,0.351,45,676.9,30.7,0.682222222,1,-65.82,0.442,45,35.79,0.795333,2,-65.62,0.476,45,37.3,0.828889
,26,0.338,45,685.7,31.1,0.691111111,1,-65.84,0.408,45,37.29,0.828667,2,-65.64,0.442,45,38.6,0.857778
,25,0.325,45,694.5,31.5,0.7,1,-65.86,0.374,45,38.64,0.858667,2,-65.66,0.408,45,39.68,0.881778
,24,0.312,45,703.4,31.9,0.708888889,1,-65.88,0.34,45,40.08,0.890667,2,-65.68,0.374,45,41.02,0.911556
,23,0.299,45,712.2,32.3,0.717777778,1,-65.9,0.306,45,41.34,0.918667,2,-65.7,0.34,45,42.41,0.942444
,22,0.286,45,721,32.7,0.726666667,1,-65.92,0.272,45,42.91,0.953556,2,-65.72,0.306,45,44.11,0.980222
,21,0.273,45,732,33.2,0.737777778,1,-65.94,0.238,45,44.52,0.989333,2,-65.74,0.272,45,45.68,1.015111
,20,0.26,45,743,33.7,0.748888889,1,-65.96,0.204,45,46.52,1.033778,2,-65.76,0.238,45,47.53,1.056222
,19,0.247,45,754.1,34.2,0.76,1,-65.98,0.17,45,48.42,1.076,2,-65.78,0.204,45,49.2,1.093333
,18,0.234,45,767.3,34.6,0.768888889,1,-66,0.136,45,50.6,1.124444,2,-65.8,0.17,45,51.39,1.142
,17,0.221,45,778.3,35.3,0.784444444,1,-66.02,0.102,45,52.67,1.170444,2,-65.82,0.136,45,53.56,1.190222
,16,0.208,45,793.8,36,0.8,1,-66.04,0.068,45,55.28,1.228444,2,-65.84,0.102,45,56.38,1.252889
,15,0.195,45,807,36.6,0.813333333,1,-66.06,0.034,45,58.13,1.291778,2,-65.86,0.068,45,59.12,1.313778
,14,0.182,45,818,37.1,0.824444444,1,-66.08,0,45,61.77,1.372667,2,-65.88,0.034,45,62.34,1.385333
,13,0.169,45,833.4,37.8,0.84,1,-66.1,-0.034,45,69.76,1.550222,2,-65.9,0,45,65.42,1.453778
,12,0.156,45,848.9,38.5,0.855555556,1,-66.12,-0.068,45,68.09,1.513111,2,-65.92,-0.034,45,72.57,1.612667
,11,0.143,45,864.3,39.2,0.871111111,1,-66.14,-0.102,45,71.97,1.599333,2,-65.94,-0.068,45,75.54,1.678667
,10,0.13,45,877.5,39.8,0.884444444,,,,,,,2,-65.96,-0.102,45,76.74,1.705333
,9,0.117,45,893,40.5,0.9,,,,,,,,,,,,
,8,0.104,45,917.2,41.6,0.924444444,,,,,,,,,,,,
,7,0.091,45,934.9,42.4,0.942222222,,,,,,,,,,,,
,6,0.078,45,954.7,43.3,0.962222222,,,,,,,,,,,,
,5,0.065,45,976.8,44.3,0.984444444,,,,,,,,,,,,
,4,0.052,45,1003,45.5,1.011111111,,,,,,,,,,,,
,3,0.039,45,1025,46.5,1.033333333,,,,,,,,,,,,
,2,0.026,45,1052,47.7,1.06,,,,,,,,,,,,
,1,0.013,45,1116,50.6,1.124444444,,,,,,,,,,,,
,0,0,45,1151,52.2,1.16,,,,,,,,,,,,
,-1,-0.013,45,1199,54.4,1.208888889,,,,,,,,,,,,
,-2,-0.026,45,1213,55,1.222222222,,,,,,,,,,,,
,-3,-0.039,45,1149,52.1,1.157777778,,,,,,,,,,,,
