row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,Cell_Termination_Method,CV,R_2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R_2_drag,R_2_cv,R_2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R_2_Drag,Hit_R_2_CV,Hit_R_2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
2,8,1.5%sep_17.24,-66.08,2.9,15.03,53.49,18.444828,hit_detected,0.182902,0.995388,-4.982759,77.586207,77.586207,-0.462305,129.310345,0.995388,0.182902,0.214286,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.1829); hit_r2_slope (R^2=0.2143)
2,8,1.5%sep_17.24,-66.1,2.9,15.04,53.73,18.527586,hit_detected,0.040217,0.99372,-4.844828,-60.344828,-60.344828,-0.308899,344.827586,0.99372,0.040217,0.769704,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.0402); hit_r2_slope (R^2=0.7697)
2,8,1.5%sep_17.24,-66.12,2.9,15.01,53.96,18.606897,hit_detected,0.730939,0.997132,-4.396552,-8.62069,-8.62069,-1.231331,1120.689655,0.997132,0.730939,0.736735,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.7309); hit_r2_slope (R^2=0.7367)
2,8,1.5%sep_17.24,-66.14,2.9,15.02,54.47,18.782759,hit_detected,0.020221,0.974982,-5.258621,241.37931,241.37931,5.27441,-2155.172414,0.974982,0.020221,0.027326,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,0.6,FALSE,hit_r2_drag (R^2=0.9750); hit_r2_cv (R^2=0.0202); hit_r2_slope (R^2=0.0273)
2,8,1.5%sep_17.24,-66.16,2.9,15.02,54.85,18.913793,hit_detected,0.383955,0.974886,-5.965517,-112.068966,-112.068966,-0.835316,-1767.241379,0.974886,0.383955,0.899345,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,0.6,FALSE,hit_r2_drag (R^2=0.9749); hit_r2_cv (R^2=0.3840); hit_r2_slope (R^2=0.8993)
2,8,1.5%sep_17.24,-66.18,2.9,15.03,55.18,19.027586,hit_detected,0.817789,0.98989,-6.534483,-43.103448,-43.103448,-0.750511,-1422.413793,0.98989,0.817789,0.899592,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.8178); hit_r2_slope (R^2=0.8996)
2,8,1.5%sep_17.24,-66.2,2.9,15.02,55.55,19.155172,hit_detected,0.931396,0.992998,-6.706897,34.482759,34.482759,-1.394198,-431.034483,0.992998,0.931396,0.857827,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.9314); hit_r2_slope (R^2=0.8578)
2,8,1.5%sep_17.24,-66.22,2.9,15.03,55.73,19.217241,hit_detected,0.051505,0.987918,-5.551724,-163.793103,-163.793103,-4.862915,2887.931034,0.987918,0.051505,0.34064,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.0515); hit_r2_slope (R^2=0.3406)
2,8,1.5%sep_17.24,-66.24,2.9,15.03,56.28,19.406897,hit_detected,0.250542,0.979555,-5.87931,318.965517,318.965517,5.593324,-818.965517,0.979555,0.250542,0.570493,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.2505); hit_r2_slope (R^2=0.5705)
2,8,1.5%sep_17.24,-66.26,2.9,15.03,56.54,19.496552,hit_detected,0.501735,0.98034,-5.948276,-250,-250,-1.060802,-172.413793,0.98034,0.501735,0.833662,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0.4,FALSE,hit_r2_cv (R^2=0.5017); hit_r2_slope (R^2=0.8337)
